SEVERITYCODE,X,Y,OBJECTID,INCKEY,COLDETKEY,REPORTNO,STATUS,ADDRTYPE,INTKEY,LOCATION,EXCEPTRSNCODE,EXCEPTRSNDESC,SEVERITYCODE,SEVERITYDESC,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INCDATE,INCDTTM,JUNCTIONTYPE,SDOT_COLCODE,SDOT_COLDESC,INATTENTIONIND,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,PEDROWNOTGRNT,SDOTCOLNUM,SPEEDING,ST_COLCODE,ST_COLDESC,SEGLANEKEY,CROSSWALKKEY,HITPARKEDCAR
2,-122.3450971,47.73412843,340,44400,44400,2239464,Matched,Intersection,35704,AURORA AVE N AND N 145TH ST,,,2,Injury Collision,Pedestrian,2,1,0,1,2005/12/21 00:00:00+00,12/21/2005 20:59,At Intersection (intersection related),24,MOTOR VEHCILE STRUCK PEDESTRIAN,,0,Overcast,Wet,Dark - Street Lights On,,5355001,,2,Vehicle turning left hits pedestrian,0,0,N
1,-122.3540261,47.61664271,341,31600,31600,1475123,Matched,Block,,WESTERN AVE BETWEEN BROAD ST AND EAGLE ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2004/06/09 00:00:00+00,6/9/2004,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Raining,Wet,Dark - Street Lights On,,4161003,,20,One car leaving parked position,0,0,N
1,-122.336874,47.65431918,342,1239,1239,3612889,Matched,Block,,N 39TH ST BETWEEN DENSMORE AVE N AND WALLINGFORD AVE N, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2013/03/31 00:00:00+00,3/31/2013 7:55,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,N,Clear,Dry,Daylight,,,,32,One parked--one moving,0,0,N
1,-122.3674169,47.67235056,343,1156,1156,3615258,Matched,Block,,NW 60TH ST BETWEEN 8TH AVE NW AND 9TH AVE NW, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2013/03/26 00:00:00+00,3/26/2013 3:00,Mid-Block (not related to intersection),0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,N,Unknown,Unknown,Unknown,,,,32,One parked--one moving,0,0,N
1,-122.3019427,47.58836012,345,63500,63500,2401983,Matched,Block,,S MASSACHUSETTS ST BETWEEN 23RD AVE S AND 24TH AVE S,,,1,Property Damage Only Collision,Rear Ended,3,0,0,2,2006/06/21 00:00:00+00,6/21/2006 13:51,Mid-Block (but intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Clear,Dry,Daylight,,6172022,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
1,-122.3131249,47.67365626,347,59800,59800,2623855,Matched,Block,,NE 62ND ST BETWEEN BROOKLYN AVE NE AND 15TH AVE NE,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2006/12/04 00:00:00+00,12/4/2006,Mid-Block (not related to intersection),13,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE AT ANGLE",,0,Overcast,Dry,Daylight,,6338014,,32,One parked--one moving,0,0,N
1,,,349,49400,49400,2623108,Matched,Block,,BATTERY ST TUNNEL NB BETWEEN ALASKAN WY VI NB AND AURORA AVE N,,,1,Property Damage Only Collision,Rear Ended,3,0,0,2,2006/10/23 00:00:00+00,10/23/2006 18:33,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Clear,Dry,Dark - Street Lights On,,6296024,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
1,-122.2980598,47.63717924,350,37200,37200,1797996,Matched,Block,,LAKE WASHINGTON BLVD E BETWEEN BOYER AVE E AND E FOSTER ISLAND RD,,,1,Property Damage Only Collision,Other,1,0,0,1,2005/11/17 00:00:00+00,11/17/2005 8:56,Mid-Block (not related to intersection),26,MOTOR VEHICLE STRUCK OBJECT IN ROAD,Y,0,Clear,Dry,Daylight,,5321045,,50,Fixed object,0,0,N
1,-122.3176854,47.71582274,351,24500,24500,1775997,Matched,Block,,NE 120TH ST BETWEEN ROOSEVELT WAY NE AND 10TH PL NE,,,1,Property Damage Only Collision,Sideswipe,2,0,0,2,2004/03/03 00:00:00+00,3/3/2004,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Overcast,Wet,Daylight,,4063023,,26,From opposite direction - both going straight - sideswipe,0,0,N
1,-122.3616511,47.62126697,352,56000,56000,2608457,Matched,Block,,ELLIOTT AVE W BETWEEN W THOMAS N ST AND 4TH AVE W,,,1,Property Damage Only Collision,Rear Ended,2,0,0,2,2006/07/31 00:00:00+00,7/31/2006 11:23,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,0,Clear,Dry,Daylight,,6212005,,13,From same direction - both going straight - both moving - rear-end,0,0,N
1,-122.274599,47.65621308,353,33300,33300,2025457,Matched,Block,,49TH AVE NE BETWEEN DEAD END 1 AND NE 39TH W ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2005/05/18 00:00:00+00,5/18/2005 2:00,Mid-Block (not related to intersection),13,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE AT ANGLE",,0,Raining,Wet,Dark - Street Lights On,,5138008,,32,One parked--one moving,0,0,N
1,-122.3131297,47.66126937,354,320864,322364,E937614,Matched,Intersection,27062,UNIVERSITY WAY NE AND NE 45TH ST, ,,1,Property Damage Only Collision,Angles,2,0,0,2,2019/07/07 00:00:00+00,7/7/2019 20:16,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Raining,Wet,Daylight,,,,10,Entering at angle,0,0,N
2,-122.3178522,47.70856099,355,1216,1216,3568598,Matched,Intersection,36501,ROOSEVELT WAY NE AND NE NORTHGATE WAY, ,,2,Injury Collision,Pedestrian,2,1,0,1,2013/03/30 00:00:00+00,3/30/2013 20:47,At Intersection (intersection related),24,MOTOR VEHCILE STRUCK PEDESTRIAN,,N,Clear,Dry,Dark - Street Lights On,,,,1,Vehicle turning right hits pedestrian,0,524507,N
2,-122.3326402,47.60916022,356,330847,332347,EA30076,Matched,Intersection,29914,6TH AVE AND UNIVERSITY ST, ,,2,Injury Collision,Other,1,0,0,1,2020/04/17 00:00:00+00,4/17/2020 12:53,At Intersection (intersection related),28,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,,N,Clear,Dry,Daylight,,,,50,Fixed object,0,0,N
2,-122.3388621,47.66138609,357,46600,46600,1794546,Matched,Block,,N 45TH ST BETWEEN WOODLAWN W AVE N AND WOODLAWN E AVE N,,,2,Injury Collision,Other,1,0,0,1,2005/04/28 00:00:00+00,4/28/2005 3:33,Driveway Junction,26,MOTOR VEHICLE STRUCK OBJECT IN ROAD,Y,0,Raining,Wet,Dark - Street Lights On,,5118024,,66,Vehicle Hits Other Road or Construction Machinery,0,0,N
1,-122.341348,47.65269809,358,33500,33500,1791586,Matched,Intersection,26871,INTERLAKE AVE N AND N 38TH ST,,,1,Property Damage Only Collision,Angles,3,0,0,2,2005/02/22 00:00:00+00,2/22/2005 13:01,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,5053021,,10,Entering at angle,0,0,N
1,-122.2766972,47.53797772,359,1229,1229,3672151,Matched,Block,,45TH AVE S BETWEEN S MYRTLE ST AND S OTHELLO ST, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2013/03/30 00:00:00+00,3/30/2013 23:35,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Dark - No Street Lights,,,,32,One parked--one moving,0,0,N
1,-122.2668613,47.53352947,360,1155,1155,3615256,Matched,Block,,SEWARD PARK AVE S BETWEEN S FONTANELLE PL AND S KENYON ST, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2013/03/26 00:00:00+00,3/26/2013 15:00,Mid-Block (not related to intersection),0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,N,Unknown,Unknown,Unknown,,,,32,One parked--one moving,0,0,N
2,-122.2928414,47.72379376,362,330814,332314,EA29626,Matched,Block,,LAKE CITY WAY NE BETWEEN NE 130TH ST AND NE 133RD ST, ,,2,Injury Collision,Parked Car,2,0,0,2,2020/04/14 00:00:00+00,4/14/2020 13:30,Driveway Junction,11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Other,Unknown,Daylight,,,,32,One parked--one moving,0,0,N
1,-122.3398449,47.61764315,363,96400,96400,3200653,Matched,Block,,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,,,1,Property Damage Only Collision,Other,1,0,0,1,2009/05/28 00:00:00+00,5/28/2009 16:56,Mid-Block (but intersection related),48,DRIVERLESS VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,,0,Clear,Dry,Daylight,,9148036,,50,Fixed object,0,0,N
1,-122.37482,47.69519728,364,53200,53200,2611901,Matched,Block,,HOLMAN RD NW BETWEEN MARY AVE NW AND 14TH AVE NW,,,1,Property Damage Only Collision,Rear Ended,2,0,0,2,2006/07/05 00:00:00+00,7/5/2006,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Overcast,Dry,Daylight,,6186023,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
1,-122.3639189,47.68178446,365,1314,1314,3568893,Matched,Block,,NW 73RD ST BETWEEN 6TH AVE NW AND 7TH AVE NW, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2013/04/01 00:00:00+00,4/1/2013 9:27,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,N,Overcast,Dry,Daylight,,,,32,One parked--one moving,0,0,N
1,-122.3278705,47.62255332,366,1005,1005,3605910,Matched,Block,,MELROSE AVE E BETWEEN E THOMAS ST AND E MERCER ST, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2013/03/23 00:00:00+00,3/23/2013 23:16,Mid-Block (not related to intersection),13,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE AT ANGLE",,N,Unknown,Unknown,Unknown,,,,32,One parked--one moving,0,0,N
2,-122.329056,47.58085271,367,44800,44800,1791035,Matched,Block,,4TH AVE S BETWEEN S STACY ST AND S LANDER ST,,,2,Injury Collision,Other,5,0,0,2,2005/07/31 00:00:00+00,7/31/2005 16:50,Driveway Junction,11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,5212016,,22,One car leaving driveway access,0,0,N
1,-122.3229514,47.68678736,368,27200,27200,527086,Matched,Intersection,24392,5TH AVE NE AND NE 80TH ST,,,1,Property Damage Only Collision,Angles,0,0,0,2,2004/02/04 00:00:00+00,2/4/2004,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Raining,Wet,Dark - Street Lights On,,4035006,,10,Entering at angle,0,0,N
1,-122.3207279,47.661319,371,320847,322347,E919482,Matched,Intersection,27070,7TH AVE NE AND NE 45TH ST, ,,1,Property Damage Only Collision,Right Turn,5,0,0,2,2019/04/24 00:00:00+00,4/24/2019 19:27,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Daylight,,,,16,From same direction - one right turn - one straight,0,0,N
1,-122.3289928,47.65969203,372,83900,83900,2897332,Matched,Block,,EASTERN AVE N BETWEEN N 43RD ST AND N 44TH ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2008/03/06 00:00:00+00,3/6/2008,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,8066014,,32,One parked--one moving,0,0,N
2,-122.3449719,47.72275671,373,320823,322323,E936790,Matched,Block,,AURORA AVE N BETWEEN N 128TH ST AND N 130TH ST, ,,2,Injury Collision,Rear Ended,2,0,0,2,2019/07/03 00:00:00+00,7/3/2019 12:12,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,N,Clear,Dry,Daylight,,,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
2,-122.3224587,47.59583117,374,64300,64300,2805569,Matched,Intersection,30447,8TH AVE S AND S DEARBORN ST,,,2,Injury Collision,Angles,7,0,0,2,2007/07/21 00:00:00+00,7/21/2007 12:41,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Overcast,Dry,Daylight,,7202013,,10,Entering at angle,0,0,N
1,-122.3252905,47.63676668,375,1088,1088,3615244,Unmatched,Block,,E NEWTON ST BETWEEN EASTLAKE AVE E AND FRANKLIN AVE E, ,,1,Property Damage Only Collision,,1,0,0,0,2013/03/25 00:00:00+00,3/25/2013,Mid-Block (not related to intersection),0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,,,,,,,, ,,0,0,N
1,-122.3554531,47.61860207,376,59300,59300,C672822,Matched,Intersection,29717,1ST AVE AND DENNY WAY,,,1,Property Damage Only Collision,Right Turn,2,0,0,2,2006/08/10 00:00:00+00,8/10/2006 17:22,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,6222051,,16,From same direction - one right turn - one straight,0,0,N
1,-122.3148331,47.59222659,377,330976,332476,3857192,Unmatched,Block,,14TH AVE S BETWEEN GOLF DR S AND S JUDKINS ST, ,,1,Property Damage Only Collision,,1,0,0,0,2020/04/24 00:00:00+00,4/24/2020,Mid-Block (not related to intersection),16,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,,,,,,,, ,,0,0,N
1,-122.377854,47.68227987,378,49200,49200,2400558,Matched,Block,,16TH AVE NW BETWEEN NW 73RD ST AND NW 75TH ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2006/05/21 00:00:00+00,5/21/2006 12:00,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Unknown,Unknown,Unknown,,6141030,,32,One parked--one moving,0,0,N
1,-122.3142101,47.66490847,379,37300,37300,2023349,Matched,Intersection,25792,BROOKLYN AVE NE AND NE 50TH ST,,,1,Property Damage Only Collision,Sideswipe,2,0,0,2,2005/08/07 00:00:00+00,8/7/2005,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,5219026,,71,Same direction -- both turning right -- both moving -- sideswipe,0,0,N
1,-122.3555559,47.72731779,380,1358,1358,3568600,Matched,Block,,GREENWOOD AVE N BETWEEN N 134TH ST AND N 136TH ST, ,,1,Property Damage Only Collision,Left Turn,2,0,0,2,2013/04/02 00:00:00+00,4/2/2013 15:10,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Overcast,Dry,Daylight,,,,28,From opposite direction - one left turn - one straight,0,0,N
1,-122.3295862,47.54669393,381,112600,112600,3383778,Matched,Block,,4TH AVE S BETWEEN S FRONT ST AND S MICHIGAN ST,,,1,Property Damage Only Collision,Angles,2,0,0,2,2010/04/02 00:00:00+00,4/2/2010 15:19,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Raining,Wet,Daylight,,10092008,,10,Entering at angle,0,0,N
2,-122.3897649,47.5442748,382,35200,35200,1795257,Matched,Block,,FAUNTLEROY WAY SW BETWEEN FAUNTLEROY WR N WAY SW AND FAUNTLEROY WR S WAY SW,,,2,Injury Collision,Sideswipe,2,0,0,2,2005/08/28 00:00:00+00,8/28/2005 20:20,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Raining,Wet,Dark - Street Lights On,,5240012,,26,From opposite direction - both going straight - sideswipe,0,0,N
1,-122.368598,47.67089368,383,320866,322366,E937659,Matched,Intersection,25407,9TH AVE NW AND NW 58TH ST, ,,1,Property Damage Only Collision,Other,1,0,0,1,2019/07/02 00:00:00+00,7/2/2019 5:19,At Intersection (intersection related),26,MOTOR VEHICLE STRUCK OBJECT IN ROAD,,N,Clear,Dry,Dawn,,,,50,Fixed object,0,0,N
1,-122.3027722,47.60743702,385,45800,45800,1744858,Matched,Block,,23RD AVE BETWEEN E JAMES ST AND E CHERRY ST,,,1,Property Damage Only Collision,Sideswipe,2,0,0,2,2005/07/15 00:00:00+00,7/15/2005 17:20,Mid-Block (not related to intersection),16,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,0,Raining,Wet,Daylight,,5196042,,11,From same direction - both going straight - both moving - sideswipe,0,0,N
1,-122.4119786,47.57825038,386,1021,1021,3380605,Matched,Block,,62ND AVE SW BETWEEN ALKI AVE SW AND SW STEVENS ST, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2013/03/24 00:00:00+00,3/24/2013 17:00,Mid-Block (not related to intersection),13,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE AT ANGLE",,N,Clear,Dry,Daylight,,,,32,One parked--one moving,0,0,N
1,-122.3058331,47.64556131,387,21800,21800,1772106,Matched,Block,,E HAMLIN ST BETWEEN 19TH AVE E AND MONTLAKE BLVD E,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2004/04/07 00:00:00+00,4/7/2004,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Overcast,Dry,Dark - Street Lights On,,4098009,,32,One parked--one moving,0,0,N
1,-122.2699958,47.51903818,388,330947,332447,EA30523,Matched,Intersection,35462,51ST AVE S AND S FLETCHER ST, ,,1,Property Damage Only Collision,Angles,4,0,0,2,2020/04/24 00:00:00+00,4/24/2020 14:33,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Overcast,Dry,Daylight,,,,10,Entering at angle,0,0,N
1,-122.3312782,47.604305,389,82800,82800,2898772,Matched,Block,,4TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,,,1,Property Damage Only Collision,Rear Ended,2,0,0,2,2008/11/04 00:00:00+00,11/4/2008,Mid-Block (but intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,8309017,,13,From same direction - both going straight - both moving - rear-end,0,0,N
1,-122.3408879,47.69053492,391,55600,55600,2400631,Matched,Block,,N 85TH ST BETWEEN STONE E AVE N AND INTERLAKE W AVE N,,,1,Property Damage Only Collision,Rear Ended,2,0,0,2,2006/05/25 00:00:00+00,5/25/2006 11:25,Mid-Block (but intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Overcast,Dry,Daylight,,6145007,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
1,-122.312222,47.69079567,392,1196,1196,3501625,Matched,Block,,15TH AVE NE BETWEEN NE 85TH ST AND NE 86TH ST, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2013/03/31 00:00:00+00,3/31/2013 10:38,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Other,Unknown,Unknown,,,,32,One parked--one moving,0,0,N
1,-122.3725543,47.53737723,393,330893,332393,EA30102,Unmatched,Intersection,34037,31ST AVE SW AND SW OTHELLO ST, ,,1,Property Damage Only Collision,,2,0,0,0,2020/04/16 00:00:00+00,4/16/2020,At Intersection (intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,,,,,,,, ,,0,0,N
1,-122.2944332,47.56230392,394,44000,44000,1791236,Matched,Block,,M L KING JR WR WAY S BETWEEN S COLUMBIAN WAY AND S SNOQUALMIE ST,,,1,Property Damage Only Collision,Rear Ended,2,0,0,2,2005/02/24 00:00:00+00,2/24/2005 7:15,Mid-Block (but intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Clear,Dry,Daylight,,5055019,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
1,-122.381462,47.55745978,395,31200,31200,1798437,Matched,Intersection,32773,FAUNTLEROY WAY SW AND SW HUDSON ST,,,1,Property Damage Only Collision,Left Turn,3,0,0,2,2004/06/06 00:00:00+00,6/6/2004,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Overcast,Wet,Daylight,,4158017,,28,From opposite direction - one left turn - one straight,0,0,N
1,-122.3660381,47.6756254,397,1154,1154,3615245,Matched,Block,,8TH AVE NW BETWEEN NW 64TH ST AND NW 65TH ST, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2013/03/26 00:00:00+00,3/26/2013 17:00,Mid-Block (not related to intersection),0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,N,Clear,Dry,Daylight,,,,32,One parked--one moving,0,0,N
1,-122.3045334,47.66567211,398,1273,1273,3507862,Matched,Block,,22ND AVE NE BETWEEN NE 50TH ST AND NE 52ND ST, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2013/04/01 00:00:00+00,4/1/2013 1:00,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Clear,Dry,Dark - Street Lights On,,,,32,One parked--one moving,0,0,N
1,-122.3030409,47.60166829,399,320852,322352,E919486,Matched,Block,,E YESLER WAY BETWEEN 22ND AVE AND 23RD AVE, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2019/04/25 00:00:00+00,4/25/2019 12:34,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Clear,Dry,Daylight,,,,19,One car entering parked position,0,0,Y
2,-122.3342556,47.52935807,400,320827,322327,E918813,Matched,Block,,SR509 NB BETWEEN KENYON ON RP AND 1ST AV S ON RP, ,,2,Injury Collision,Sideswipe,5,0,0,3,2019/04/25 00:00:00+00,4/25/2019 7:44,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,N,Clear,Dry,Daylight,,,,11,From same direction - both going straight - both moving - sideswipe,0,0,N
1,,,401,84700,84700,C710127,Matched,,,,NEI,"Not Enough Information, or Insufficient Location Information",1,Property Damage Only Collision,Parked Car,2,0,0,2,2008/09/15 00:00:00+00,9/15/2008 15:45,,0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,0,Clear,Dry,Daylight,,8259051,,20,One car leaving parked position,0,0,N
1,-122.3263555,47.60045148,402,330821,332321,EA29422,Matched,Block,,6TH AVE S BETWEEN S WASHINGTON ST AND S MAIN ST, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2020/04/16 00:00:00+00,4/16/2020 11:43,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Daylight,,,,32,One parked--one moving,0,0,Y
1,,,403,53400,53400,2184918,Matched,Alley,,,,,1,Property Damage Only Collision,Parked Car,4,0,0,2,2006/01/13 00:00:00+00,1/13/2006 8:43,,0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,0,Raining,Wet,Daylight,,6013048,,32,One parked--one moving,0,0,N
1,-122.3660347,47.69786483,404,1086,1086,3613223,Matched,Intersection,37149,8TH AVE NW AND NW 95TH ST, ,,1,Property Damage Only Collision,Angles,2,0,0,2,2013/03/25 00:00:00+00,3/25/2013 16:33,At Intersection (intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Clear,Dry,Daylight,,,,10,Entering at angle,0,0,N
1,-122.2737411,47.54381502,405,41600,41600,1797556,Matched,Block,,RAINIER AVE S BETWEEN S MORGAN ST AND S WARSAW ST,,,1,Property Damage Only Collision,Parked Car,3,0,0,2,2005/05/24 00:00:00+00,5/24/2005 16:30,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,5144035,,20,One car leaving parked position,0,0,N
1,-122.3350319,47.60421435,407,1147,1147,3548946,Unmatched,Block,,MARION ST BETWEEN 1ST AVE AND 2ND AVE, ,,1,Property Damage Only Collision,,2,0,0,0,2013/03/29 00:00:00+00,3/29/2013,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,,,,,,,, ,,0,0,N
2,-122.3182881,47.54530868,408,18400,18400,1790486,Matched,Block,,S ALBRO PL BETWEEN ELLIS AVE S AND S EDDY ST,,,2,Injury Collision,Sideswipe,3,0,0,2,2004/08/29 00:00:00+00,8/29/2004 3:59,Mid-Block (not related to intersection),16,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,0,Clear,Dry,Dark - Street Lights On,,4242002,,11,From same direction - both going straight - both moving - sideswipe,0,0,N
1,-122.3196407,47.59708197,409,320940,322440,3746498,Matched,Block,,10TH AVE S BETWEEN S WELLER ST AND XW S LANE ST, ,,1,Property Damage Only Collision,Angles,2,0,0,2,2019/07/05 00:00:00+00,7/5/2019 16:40,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",Y,N,Clear,Dry,Daylight,,,,10,Entering at angle,0,0,N
1,-122.3120887,47.68350004,410,112100,112100,3376953,Matched,Block,,15TH AVE NE BETWEEN NE 75TH ST AND NE 76TH ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2010/05/10 00:00:00+00,5/10/2010 5:17,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Raining,Wet,Dawn,,10130003,,32,One parked--one moving,0,0,N
1,-122.398368,47.676201,411,320902,322402,E923893,Matched,Block,,32ND AVE NW BETWEEN NW 65TH ST AND NW 66TH ST, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2019/04/28 00:00:00+00,4/28/2019 4:37,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Clear,Dry,Dark - Street Lights On,,,,32,One parked--one moving,0,0,Y
1,-122.2849971,47.56617723,413,63700,63700,2615501,Matched,Intersection,32699,38TH AVE S AND S DAKOTA ST,,,1,Property Damage Only Collision,Angles,2,0,0,2,2006/07/25 00:00:00+00,7/25/2006 12:00,At Intersection (intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Clear,Dry,Daylight,,6206030,,10,Entering at angle,0,0,N
1,-122.302355,47.6286448,414,330810,332310,EA29621,Unmatched,Intersection,29317,23RD AVE E AND E PROSPECT ST, ,,1,Property Damage Only Collision,,2,0,0,0,2020/04/14 00:00:00+00,4/14/2020,At Intersection (intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,,,,,,,, ,,0,0,N
